Acadia,22.6,26.1,33.2,44.2,54.7,64,69.2,68.7,61.2,50.3,40.5,29.3
Arches,32.3,39.3,49.3,57.1,67,77.4,84.2,81.9,72.2,58.4,44.5,33.7
Badlands,45.4,50.4,56.8,65.6,74.1,79.1,79,78.2,72.8,65.4,54.7,45.2
Big Bend,48.6,52.5,59.5,68.2,75.8,80.8,81.5,80.6,75.3,66.9,57.1,49.2
Biscayne,68.1,69.9,71.9,74.8,78.6,81.4,83.2,83.3,82.3,79.4,75.1,70.7
Black Canyon of the Gunnison,23,26.5,33.4,40.6,50.6,59.3,65.9,63.9,56.3,44.6,32.6,23.8
Bryce Canyon,26.1,27.6,33.9,41.1,50.4,59.7,66.4,63.9,55.8,45.1,33.7,25.9
Canyonlands,29.9,36.1,44.6,52.3,62.8,72.7,79.4,76.8,67.3,54.2,41.1,30.9
Capitol Reef,30,35.5,44.4,52,61.6,71.6,77.9,74.8,66.7,54.1,40.4,30.3
Carlsbad Caverns,45.6,49.1,55.2,62.9,71.5,78.1,78.9,77.8,72.1,63.7,54,46.4
Channel Islands,54.4,53.7,56.2,58.3,61.4,64.3,66.9,67.7,66.8,63.1,58.5,53.8
Congaree,45.9,49.6,56.6,63.5,71.6,78.3,81.8,80.2,74.9,65.2,56.2,47.9
Crater Lake,26.4,26.3,28.3,32.2,38.8,45.6,54.6,55.1,49.6,41,30,25.8
Cuyahoga Valley,29.8,33.3,42.2,53.4,62.2,70.6,74.2,73,65.9,54.4,44.2,33.6
Death Valley,53.4,59.8,68.4,76.3,86.6,95.5,102.2,100.2,91,77.1,62.6,51.7
Denali,3.1,7.6,13.4,27.9,42.8,52.8,55.6,50.6,40.4,22.9,8.9,6.9
Dry Tortugas,68.7,69.6,72.3,75.7,80,83.3,84.7,84.7,83.5,79.8,74.9,70.8
Everglades,65.4,67.6,70.3,73.7,78.2,81.8,83.1,83.7,82.8,79.1,73.4,68.2
Gates of the Arctic,-9,-2.8,7.4,27.5,46.3,58.3,60.4,53.9,42.8,22.5,1.9,-4.8
Glacier,24.4,26.9,33.9,42.3,51.3,58,64.2,63.2,53.4,42.2,31.4,23.3
Glacier Bay,29,30.3,33.1,39.8,47,52.6,55.2,54.4,48.6,41.5,33.5,30.5
Grand Canyon,27.7,31.2,36.8,42.3,50.4,59,65.5,64.5,57.4,46.5,35.8,28.2
Grand Teton,17.5,24.5,38.6,47.9,57.1,65.8,72.8,70.6,61.2,48.5,34.4,20.9
Great Basin,29.1,30.3,36.9,43.7,53.1,62.8,71.4,69.2,59.9,47.9,36.2,28.4
Great Sand Dunes,21.8,26,34.5,42,51.6,61,65.7,63.4,56.5,45.2,32.7,22.6
Great Smoky Mountains,38.2,42.4,50.3,58.8,67.2,75,78.4,77.8,71.1,59.9,49.7,40.8
Guadalupe Mountains,41.8,45.6,52.3,60.2,69.5,76.7,76.1,74.9,69.5,61.3,49.7,41
Haleakala,52,51,51.4,51.8,53.9,56.4,57,57.5,56,55.6,55.1,52.9
Hawaii Volcanoes,64.9,64.3,65.3,65.3,67.5,68.9,69.6,70.1,70,69.1,67.7,66.1
Hot Springs,41.9,46,54.2,62.7,70.7,78.5,82.5,82.2,74.5,63.4,52.7,43.6
Isle Royale,12.6,15.6,25.2,39.1,51.6,61.2,65.6,64.6,56.4,44.1,30.9,18.1
Joshua Tree,48.5,51.2,56.3,61.1,70.2,77.4,84.9,83.7,78.8,66.9,55.8,47.4
Katmai,-6.5,1.4,11.6,29.7,46.7,57.4,60,54.6,44.6,25.1,5.5,-3.2
Kenai Fjords,16.4,19.7,25.7,36.2,46,52.5,56.3,55,48.1,35.2,23.2,19
Kings Canyon,46.9,49.7,53.1,57.2,66.1,74.8,82,81.2,75.3,65.2,53.6,46.7
Lake Clark,-0.6,7.2,15.5,31.3,45.4,54.8,58.7,53.9,44.7,25.7,8.7,3.8
Lassen Volcanic,45.9,50.6,54.6,59.6,67.1,75.1,79.3,77.7,72.8,64.2,53.2,45.8
Mammoth Cave,36.9,41.4,50,59.4,67.1,74.8,78.4,77.4,70.9,60.1,50.1,39.7
Mesa Verde,29.5,32.7,39.2,46.2,55.7,65.5,71.4,69.3,61.8,50,38.6,29.8
Mount Rainier,30.1,33.1,35.9,41.2,48.4,54.6,60.8,60.5,55.4,46.8,37.3,32.4
National Park of American Samoa,27.1,27.2,27.3,27.1,26.7,26.2,25.8,25.7,26.1,26.3,26.6,26.8
North Cascades,37.5,39.6,45.2,50.2,56.8,61.4,66.4,66.6,60.5,50.4,42,36.3
Olympic,40.1,41.3,45,48.8,54.8,59.5,64,64.3,59.2,50.9,43.5,38.6
