Acadia,195,658,3790,3285,10940,25040,44363,44697,29488,10118,276,30
Arches,94,405,1504,2249,6213,5455,4385,4277,3772,4383,2276,376
Badlands,15,23,78,204,948,1957,2206,2198,1083,946,219,27
Big Bend,10541,9783,18042,14060,7322,4201,3549,3134,3280,6947,9084,9285
Biscayne ,345,415,460,266,0,41,46,21,35,44,209,255
Black Canyon of the Gunnison ,7,19,56,563,2211,3599,4625,3742,2098,2763,259,15
Bryce Canyon ,215,361,1796,4925,11278,16520,16366,16386,16625,8298,1047,228
Canyonlands ,356,565,8720,13447,15598,11171,7543,7733,12969,15175,5475,533
Capitol Reef ,100,254,3337,5827,5182,5946,4931,5036,4606,4883,675,124
Carlsbad Caverns ,10,10,34,12,17,12,17,17,5,3,11,6
Channel Islands ,286,345,1541,1678,2371,2847,3925,3468,3407,1644,857,502
Congaree ,28,45,46,57,51,28,14,52,15,22,74,38
Crater Lake ,137,129,277,158,203,932,1869,2293,1568,713,45,125
Death Valley ,16224,25055,16556,9600,3853,989,701,1052,1717,7754,22315,14752
Denali,57,133,304,1769,23679,32499,21994,20480,13030,3,2,3
Dry Tortugas ,138,136,150,440,663,983,335,463,304,400,173,123
Everglades ,7804,8321,7007,1204,372,206,129,110,198,406,1315,3486
Gates of the Arctic,0,0,7,9,13,968,2425,3759,639,0,0,0
Glacier Bay,22,22,11,19,670,2002,1670,1476,960,37,11,110
Glacier ,113,125,182,462,6958,37498,83692,79623,33816,2878,113,76
Grand Canyon ,6640,6869,32380,59180,62550,23982,21543,57834,20738,32401,19763,6546
Grand Teton ,123,51,117,126,459,3130,10541,11853,5063,399,77,0
Great Basin ,96,118,166,822,2587,7466,9162,9755,4603,1717,327,260
Great Sand Dunes,9,14,245,2605,7529,8876,8771,8615,5311,3990,24,4
Great Smoky Mountains ,2195,1558,14963,26585,44150,56916,69661,45336,39822,55277,8505,3039
Guadalupe Mountains ,730,779,2575,2169,1924,1330,1161,777,591,1888,2062,557
Haleakala ,842,816,924,721,952,871,1196,770,649,523,401,363
Hawaii Volcanoes ,701,587,506,395,459,495,519,431,371,348,667,528
Hot Springs ,500,383,1062,2105,2420,2759,2888,2342,2204,2419,1198,684
Isle Royale ,0,0,0,0,781,2707,12019,12289,4137,0,0,0
Joshua Tree ,24870,32753,44267,38399,24196,7821,4641,8034,7761,29388,32247,29814
Katmai,0,0,0,0,0,129,1776,446,30,0,0,0
Kenai Fjords ,7,29,33,10,79,486,510,537,90,0,2,11
Kings Canyon ,599,688,2096,3275,10277,21922,38688,24711,6862,5225,1590,370
Lake Clark,18,20,42,28,57,347,611,589,421,27,7,9
Lassen Volcanic ,181,260,266,252,3848,21855,28711,25352,14552,4357,172,123
Mammoth Cave ,119,105,2043,3927,6158,8033,8888,7360,5245,5981,1360,252
Mesa Verde ,0,0,0,324,8377,11153,10797,8835,8181,3603,0,0
Mount Rainier ,597,644,1069,899,4506,16382,44236,46362,20151,1910,74,276
North Cascades ,19,45,91,83,796,2467,6742,7929,3838,555,27,3
Olympic ,1383,2559,3994,7219,19057,39145,70868,78331,42464,5865,2283,1212
Petrified Forest ,6,14,41,39,50,43,40,30,22,36,18,5
Redwood ,160,100,621,472,733,1073,1786,1523,825,448,213,170
Rocky Mountain ,412,391,841,1117,9111,43469,59682,55409,33894,9043,574,250
Saguaro ,106,173,469,197,120,37,17,25,93,152,122,85
Sequoia ,1223,1547,4049,6705,18280,33814,48623,48839,24239,8779,2263,924
Shenandoah ,195,122,1910,8289,30827,34028,34359,33831,24785,27259,3753,291
Theodore Roosevelt ,13,6,130,408,2255,5682,7214,6671,5051,1037,51,5
Voyageurs ,4,15,10,24,4155,8610,12327,11467,3801,602,129,0
Wind Cave ,5,1,49,221,982,2420,1639,1716,2126,406,19,3
Yellowstone ,326,316,882,2122,12959,35673,61071,51488,36428,9733,754,250
Yosemite ,8199,9548,23926,48479,103295,220887,215300,195748,117515,59856,12746,6415
Zion ,1948,3388,24085,26968,26348,26622,26490,26919,26040,23977,13192,2187
