Acadia,4.91,4.35,5.39,4.78,4.64,4.12,3.5,3.31,4.45,5.31,6.47,5.49
Arches,0.52,0.5,0.79,0.75,0.68,0.44,0.83,0.96,0.84,1.24,0.63,0.62
Badlands,0.5,0.37,0.24,0.57,1.1,2.46,2.35,1.77,2.65,1.2,0.35,0.16
Big Bend,0.46,0.34,0.31,0.7,1.5,1.93,2.09,2.35,2.12,2.27,0.7,0.57
Biscayne,2.4,2.26,3.05,2.8,5.34,8.98,5.26,7.61,8.53,5.92,3.02,1.93
Black Canyon of the Gunnison,1.25,1.3,2.3,1.56,1.55,0.9,2.07,2.47,2.3,1.97,1.82,1.47
Bryce Canyon,1.83,1.35,1.51,0.82,0.83,0.58,1.56,1.99,1.72,1.97,1.3,1.22
Canyonlands,0.49,0.53,0.8,0.71,0.58,0.35,0.77,1.04,0.91,1.1,0.67,0.47
Capitol Reef,0.62,0.49,0.73,0.54,0.53,0.45,0.93,1.33,0.75,0.9,0.52,0.36
Carlsbad Caverns,0.37,0.53,0.47,0.64,1.41,2.16,2.44,2.36,2.99,1.23,0.56,0.56
Channel Islands,3.47,3.71,2.65,0.79,0.31,0.05,0.02,0.04,0.18,0.63,1.31,2.06
Congaree,3.98,3.59,3.98,2.85,3.22,5.12,5.29,5.28,3.79,3.39,2.92,3.32
Crater Lake,9.41,7.72,7.53,5.46,3.57,2.28,1.03,1,1.98,4.42,10.25,11.56
Cuyahoga Valley,2.98,2.28,2.99,3.49,4.25,4.05,4.05,3.29,3.29,2.81,3.3,2.82
Death Valley,0.39,0.51,0.3,0.12,0.03,0.05,0.07,0.13,0.21,0.07,0.18,0.3
Denali,0.63,0.54,0.39,0.4,0.87,2.15,3.22,2.71,1.7,0.78,0.75,0.92
Dry Tortugas,2.61,2.11,2.54,2,1.57,3.41,2.9,4.26,6.63,3.88,2.02,2.49
Everglades,1.74,1.9,2.36,2.17,3.23,10.65,8.06,9.96,8.27,3.62,1.89,1.53
