Acadia,1,1,1,2,2,2,2,2,2,2,1,1
Arches,2,2,4,4,4,5,4,4,4,3,3,2
Badlands,3,4,4,4,3,2,2,2,2,2,4,3
Big Bend,3,4,5,4,2,1,1,1,1,1,3,3
Biscayne,1,1,1,1,1,1,1,1,1,1,1,1
Black Canyon of the Gunnison,1,1,1,1,1,3,1,1,1,1,1,1
Bryce Canyon,1,1,1,4,4,5,2,2,2,2,2,1
Canyonlands,1,2,3,4,5,5,3,3,4,3,3,2
Capitol Reef,2,2,3,5,5,5,4,3,4,4,3,2
Carlsbad Caverns,3,3,4,3,2,1,2,1,1,2,4,3
Channel Islands,1,1,1,3,4,5,5,5,5,3,2,1
Congaree,1,1,1,1,1,1,1,1,1,1,1,1
Crater Lake,1,1,1,1,1,2,3,4,2,1,1,1
Cuyahoga Valley,2,2,2,2,2,2,2,2,2,2,2,2
Death Valley,5,5,6,6,6,6,6,6,6,6,6,5
Denali,1,1,1,1,4,2,2,2,2,1,1,1
Dry Tortugas,1,1,1,1,1,1,1,1,1,1,1,1
Everglades,2,2,2,2,2,1,2,2,1,2,2,2
Gates of the Arctic,1,1,1,1,3,2,1,1,1,1,1,1
Glacier,1,1,1,1,2,2,2,3,2,2,1,1
Glacier Bay,1,1,1,1,2,2,2,2,1,1,1,1
Grand Canyon,2,3,2,4,5,5,2,2,2,2,3,2
Grand Teton,1,1,2,3,4,4,5,4,4,4,2,1
Great Basin,1,1,2,2,2,2,2,2,2,2,2,1
Great Sand Dunes,1,1,2,2,2,4,2,2,2,3,2,1
Great Smoky Mountains,2,2,2,2,2,2,2,2,2,2,2,2
Guadalupe Mountains,3,3,4,4,2,2,1,1,1,2,3,3
Haleakala,2,2,2,2,2,3,2,2,2,2,2,2
Hawaii Volcanoes,1,1,1,1,1,1,1,1,1,1,1,1
Hot Springs,2,2,2,2,2,2,2,2,2,2,2,1
Isle Royale,1,1,1,1,1,1,1,1,1,1,1,1
Joshua Tree,4,4,5,6,5,6,6,5,5,5,4,4
Katmai,1,1,1,1,2,1,1,1,1,1,1,1
Kenai Fjords,1,1,1,2,3,2,2,2,1,1,1,1
Kings Canyon,1,1,1,1,2,5,6,6,4,2,1,1
Lake Clark,1,1,1,2,2,1,1,1,1,1,1,1
Lassen Volcanic,1,1,1,1,2,4,6,6,4,1,1,1
Mammoth Cave,1,1,1,1,1,2,2,2,1,1,1,1
Mesa Verde,1,1,1,2,2,5,2,2,1,1,1,1
Mount Rainier,1,1,1,1,1,2,3,3,2,2,2,1
National Park of American Samoa,1,1,1,1,1,1,1,1,1,1,1,1
North Cascades,1,1,1,1,1,1,1,1,1,1,1,1
Olympic,2,2,2,2,2,2,3,3,2,2,2,2
Petrified Forest,2,2,3,5,5,5,2,2,3,4,3,2
Pinnacles,1,1,1,2,4,5,5,5,5,3,1,1
Redwood,1,1,1,1,1,1,5,4,3,1,1,1
Rocky Mountain,2,2,2,2,2,2,2,2,2,3,2,2
Saguaro,4,4,4,5,5,4,1,1,2,3,4,2
Sequoia,1,1,1,2,3,5,6,6,5,3,1,1
Shenandoah,1,1,1,2,2,2,2,2,2,2,2,1
Theodore Roosevelt,1,1,2,2,1,2,2,2,3,2,1,1
Virgin Islands,1,1,1,1,1,1,1,1,1,1,1,1
Voyageurs,1,1,1,1,1,1,1,1,1,1,1,1
Wind Cave,1,1,2,1,1,2,2,2,2,2,2,1
Wrangell-St. Elias,1,1,1,1,1,1,1,1,1,1,1,1
Yellowstone,1,1,1,2,2,3,3,3,3,3,1,1
Yosemite,2,2,2,2,2,4,5,6,4,2,2,2
Zion,2,2,2,3,4,5,3,3,3,3,3,2
