Acadia,11519,10442,17782,60213,170102,346440,576605,648203,440458,324461,36097,10525
Arches,18869,28407,96745,130545,172592,179680,182985,171445,168372,111681,45434,23718
Badlands,9981,9807,18911,26124,65685,179802,227885,220337,107303,35714,15318,9411
Big Bend,29354,31679,61066,41251,27180,20330,15211,16904,19577,29882,19940,21842
Biscayne,32423,35117,44861,50836,53580,55204,59705,57806,37623,36222,22867,28825
Black Canyon of the Gunnison,4035,4084,5135,7829,22167,30839,43791,26455,27333,13432,4111,3909
Bryce Canyon,19978,25578,58296,112556,177421,258727,242777,239548,234922,131490,40464,26497
Canyonlands,5779,13091,45920,69084,78650,72064,62835,66779,75297,73611,19249,6706
Capitol Reef,9816,12751,44755,77509,126034,107195,109582,107574,128222,99594,22725,10310
Carlsbad Caverns,14091,16287,46403,36263,41284,53936,74176,46905,24445,34164,19310,23537
Channel Islands,19387,21418,31005,24589,33446,38389,47494,36184,25680,19799,15781,14576
Congaree,5715,6889,11664,13788,10170,8686,8275,7349,6818,11901,10685,6986
Crater Lake,8995,6614,14853,13522,39355,80509,134662,111309,107729,40029,9130,9719
Cuyahoga Valley,83250,76719,101996,204063,264110,248518,302726,280528,221783,228171,117335,114459
Death Valley,69633,70989,99904,107221,122449,88321,96501,123632,98286,96526,73236,66012
Denali,361,935,2414,2728,52650,131873,153139,141584,57034,846,348,337
Dry Tortugas,5500,5074,6181,7371,7328,5827,6915,3603,4796,3415,3497,5064
Everglades,135231,138741,135553,84970,66673,60106,68446,70684,43484,68964,74586,120104
Gates of the Arctic,319,320,600,143,348,2290,3082,3529,910,12,6,80
Glacier Bay,173,198,177,814,77120,108241,150699,131293,56340,264,178,164
Glacier,12099,12386,15677,38469,123464,374373,694357,627063,352443,71996,15315,10925
Grand Canyon,182620,200338,395742,403669,500788,560935,654552,731944,485880,410933,237219,236316
Grand Teton,45868,45295,52552,49108,215435,534305,711723,633120,423421,169481,37037,39019
Great Basin,913,2152,2516,7071,11339,14736,22512,18887,18042,7986,3741,2287
Great Sand Dunes,1380,1049,8785,10728,35625,55260,56087,53298,34707,22592,4578,2238
Great Smoky Mountains,324334,270333,554145,759937,959428,1306355,1443466,1211072,1037414,1337045,662513,500515
Guadalupe Mountains,6514,9738,20105,23330,14879,12298,16140,13033,9307,18224,14495,11754
Haleakala,92520,85799,97394,95822,98336,105955,109806,102070,97586,98474,67444,78123
Hawai‘i Volcanoes,156939,154389,142788,133771,146549,158681,171240,157897,124222,127553,131570,147351
Hot Springs,71095,82209,112409,107272,128325,129060,153043,161158,135086,129622,99401,60375
Isle Royale,12,16,3,17,636,1790,4745,5330,1284,122,22,25
Joshua Tree,135083,176459,226342,201826,151733,93237,90479,101235,106570,147724,148319,154326
Katmai,0,0,0,0,0,0,16895,4860,3953,0,0,0
Kenai Fjords,5,49,19,8,24695,63946,85903,77829,27057,3865,34,70
Kings Canyon,15919,12820,16491,25946,56192,71635,93114,76651,48021,40579,15413,14335
Lake Clark,131,183,279,263,494,2581,4925,4711,1969,202,196,206
Lassen Volcanic,7436,6524,8367,9707,30072,56606,98032,95750,66653,35400,10819,7535
Mammoth Cave,9365,7709,37431,54645,51305,74627,102317,74724,37702,45157,19379,13651
Mesa Verde,6006,6145,16004,30761,54344,94486,109200,89873,59348,40310,10997,6787
Mount Rainier,26244,14584,25250,40442,62588,161196,267533,290024,199836,76384,85395,16362
National Park of American Samoa,1371,1192,1505,1601,1450,981,1251,965,1133,1236,1179,956
North Cascades,50,79,114,184,1069,2624,6422,6507,4102,926,106,49
Olympic,80151,90330,108628,163157,281844,473261,577352,781385,393160,146288,82423,88986
Petrified Forest,20544,28418,64122,68062,92353,115920,121403,91390,66207,77913,29712,24615
Pinnacles,16929,16446,22474,26235,22005,16609,17046,14274,11908,11756,13067,12867
Redwood,16074,20051,23276,34063,42426,59101,81117,63928,49256,37044,21471,18243
Rocky Mountain,88281,81002,116691,107030,240122,573761,776056,691203,591022,338605,88647,81001
Saguaro,80229,87340,107610,74103,50545,33307,38595,37721,35565,44300,50760,58362
Sequoia,30573,28245,50618,69764,107433,137849,188075,177281,118118,70607,41607,35249
Shenandoah,9665,9863,31573,90091,148232,140608,171048,187727,135567,255327,86212,19886
Theodore Roosevelt,2011,2698,7926,13352,48182,110251,129544,109386,76236,51025,18362,5754
Virgin Islands,36544,53403,55120,48034,34462,40195,37366,20718,9427,12240,26745,40313
Voyageurs,5616,7256,3910,832,28607,47707,51814,52004,27021,11078,2413,545
Wind Cave,13835,8375,17685,35599,59159,108677,89379,82152,73754,23049,14228,13606
Wrangell-St. Elias,25,95,230,520,5282,17675,24390,21954,6749,530,60,35
Yellowstone,27435,31288,20884,38978,348052,725205,919779,813883,625989,223409,11353,17859
Yosemite,120226,124360,170709,262025,370715,515339,624836,645547,497304,355996,182517,132985
Zion,74590,90470,258771,352399,396009,428150,443346,423730,367528,309537,155429,88945
